austria.html|Krone|http://onair.krone.at:80/kronehit-house.mp3
austria.html|ORF1|http://mp3stream3.apasf.apa.at:8000
austria.html|ORF2|http://mp3stream2.apasf.apa.at:8000
austria.html|ORF3|http://mp3stream7.apasf.apa.at:8000
france.html|Accent4 Classic|http://str2.creacast.com/accent4
france.html|FG DJ Radio|http://radiofg.impek.com/fg.mp3
france.html|French|http://mfm-wr3.ice.infomaniak.ch:80/mfm-wr3-128
france.html|French Kiss|http://stream.frenchkissfm.com:80
france.html|WFT Spain|http://stream2.wft.es:1025
funk.html|Atomic Radio|http://188.165.196.212:8032/
funk.html|DJ Live|http://195.154.237.89:5002/
funk.html|Electrocoat|http://91.237.213.34:8002/
funk.html|Electronic FM|http://91.237.213.34:8008/
funk.html|Funk Channel|http://server-11.stream-server.nl:8504
funk.html|House Section|http://stream.housesection.fm:84
funk.html|Kinetic Radio|http://uk3.internet-radio.com:11128/
funk.html|Tonik Radio Ireland|http://uk3.internet-radio.com:10523/
slovakia.html|Devin|http://live.slovakradio.sk:8000/Devin_256.mp3
slovakia.html|Europa 2|http://ice2.europa2.sk/fm-europa2sk-128
slovakia.html|Fun Radio 1|http://stream.funradio.sk:8000/fun128.mp3
slovakia.html|Fun Radio 2|http://stream.funradio.sk:8000/new128.mp3
slovakia.html|Klasika|http://live.slovakradio.sk:8000/Klasika_256.mp3
somafm.html|Deep Space One|http://xstream1.somafm.com:2800
somafm.html|Drone Zone|http://mp3.somafm.com:80
somafm.html|Space Station|http://sfstream1.somafm.com:8200
somafm.html|The Trip|http://sfstream1.somafm.com:2504
world.html|1Dance.FM|http://173.192.207.51:8062
world.html|Cherie FM|http://95.81.146.2/cherie_fm_love_song/all/che_140854.mp3
world.html|Digitalis|http://uwstream2.somafm.com:8910
world.html|Disco Funk|http://stream.generationdiscofunk.com:80
world.html|Etana|http://broadcast.infomaniak.net:80/generations-caraibes-high.mp3
world.html|Nostalgie Funk|http://mp3.live.tv-radio.com/2522/nostalgie_funk/nos_114231.mp3
